Date,Time,Light,SD,Rep,NewRep,Totalgrowth_percent,Presence
44650,t5,Low,4,R1,1,28.0535855,0.5
44650,t5,Low,4,R2,2,43.70689655,0.2
44650,t5,Low,4,R3,3,35.63873068,0
44650,t5,Low,5,R1,4,39.06810036,0.555555556
44650,t5,Low,5,R2,5,38.32911392,0.142857143
44650,t5,Low,5,R3,6,39.18849512,0.111111111
44650,t5,Low,6,R1,7,30.78899083,0
44650,t5,Low,6,R2,8,32.22345542,0.307692308
44650,t5,Low,6,R3,9,31.7233809,0.083333333
44650,t5,High,4,R1,10,49.2484527,0
44650,t5,High,4,R2,11,41.53976311,0.6
44650,t5,High,4,R3,12,40.97478992,0.5
44650,t5,High,5,R1,13,40.82073434,0
44650,t5,High,5,R2,14,31.26272912,0
44650,t5,High,5,R3,15,37.52004276,0.142857143
44650,t5,High,6,R1,16,35.2014652,0.090909091
44650,t5,High,6,R2,17,33.80022116,0.333333333
44650,t5,High,6,R3,18,35.71964018,0.181818182
